ÏúÁ¿(Ç§¿Ë),ÏúÊÛµ¥¼Û(Ôª/Ç§¿Ë),ÈÕÆÚ,Åú·¢¼Û¸ñ(Ôª/Ç§¿Ë),µ¥Æ·Ãû³Æ,ËðºÄÂÊ(%)
0.61,12.0,2023-06-30,8.97,ÂÝË¿½·,10.18
0.477,12.0,2023-06-30,8.97,ÂÝË¿½·,10.18
0.619,12.0,2023-06-30,8.97,ÂÝË¿½·,10.18
0.594,12.0,2023-06-30,8.97,ÂÝË¿½·,10.18
0.234,12.0,2023-06-30,8.97,ÂÝË¿½·,10.18
0.217,12.0,2023-06-30,8.97,ÂÝË¿½·,10.18
0.318,12.0,2023-06-30,8.97,ÂÝË¿½·,10.18
0.243,12.0,2023-06-30,8.97,ÂÝË¿½·,10.18
0.418,12.0,2023-06-30,8.97,ÂÝË¿½·,10.18
0.326,12.0,2023-06-30,8.97,ÂÝË¿½·,10.18
0.518,12.0,2023-06-30,8.97,ÂÝË¿½·,10.18
0.493,12.0,2023-06-30,8.97,ÂÝË¿½·,10.18
0.477,12.0,2023-06-30,8.97,ÂÝË¿½·,10.18
0.217,12.0,2023-06-30,8.97,ÂÝË¿½·,10.18
0.56,12.0,2023-06-30,8.97,ÂÝË¿½·,10.18
0.351,12.0,2023-06-30,8.97,ÂÝË¿½·,10.18
0.268,12.0,2023-06-30,8.97,ÂÝË¿½·,10.18
0.284,12.0,2023-06-30,8.97,ÂÝË¿½·,10.18
0.276,12.0,2023-06-30,8.97,ÂÝË¿½·,10.18
0.326,12.0,2023-06-30,8.97,ÂÝË¿½·,10.18
0.644,12.0,2023-06-30,8.97,ÂÝË¿½·,10.18
