ÏúÁ¿(Ç§¿Ë),ÏúÊÛµ¥¼Û(Ôª/Ç§¿Ë),ÈÕÆÚ,Åú·¢¼Û¸ñ(Ôª/Ç§¿Ë),µ¥Æ·Ãû³Æ,ËðºÄÂÊ(%)
0.313,8.0,2023-06-28,10.6,¾»Åº(1),5.54
0.652,8.0,2023-06-28,10.6,¾»Åº(1),5.54
0.42,8.0,2023-06-28,10.6,¾»Åº(1),5.54
0.533,16.0,2023-06-28,10.6,¾»Åº(1),5.54
0.677,8.0,2023-06-28,10.6,¾»Åº(1),5.54
0.464,16.0,2023-06-28,10.6,¾»Åº(1),5.54
0.389,16.0,2023-06-29,10.6,¾»Åº(1),5.54
0.664,16.0,2023-06-29,10.6,¾»Åº(1),5.54
0.182,16.0,2023-06-29,10.6,¾»Åº(1),5.54
0.351,16.0,2023-06-29,10.6,¾»Åº(1),5.54
0.57,16.0,2023-06-29,10.6,¾»Åº(1),5.54
0.79,16.0,2023-06-29,10.6,¾»Åº(1),5.54
0.132,16.0,2023-06-29,10.6,¾»Åº(1),5.54
0.32,16.0,2023-06-29,10.6,¾»Åº(1),5.54
0.257,16.0,2023-06-29,10.6,¾»Åº(1),5.54
0.526,16.0,2023-06-29,10.6,¾»Åº(1),5.54
0.295,16.0,2023-06-29,10.6,¾»Åº(1),5.54
0.721,16.0,2023-06-29,10.6,¾»Åº(1),5.54
0.633,16.0,2023-06-29,10.6,¾»Åº(1),5.54
0.389,8.0,2023-06-29,10.6,¾»Åº(1),5.54
0.639,16.0,2023-06-29,10.6,¾»Åº(1),5.54
0.545,8.0,2023-06-29,10.6,¾»Åº(1),5.54
0.595,16.0,2023-06-30,10.38,¾»Åº(1),5.54
0.244,16.0,2023-06-30,10.38,¾»Åº(1),5.54
0.332,16.0,2023-06-30,10.38,¾»Åº(1),5.54
0.332,16.0,2023-06-30,10.38,¾»Åº(1),5.54
0.47,16.0,2023-06-30,10.38,¾»Åº(1),5.54
0.946,16.0,2023-06-30,10.38,¾»Åº(1),5.54
0.683,16.0,2023-06-30,10.38,¾»Åº(1),5.54
0.451,16.0,2023-06-30,10.38,¾»Åº(1),5.54
0.213,16.0,2023-06-30,10.38,¾»Åº(1),5.54
0.338,16.0,2023-06-30,10.38,¾»Åº(1),5.54
0.614,8.0,2023-06-30,10.38,¾»Åº(1),5.54
0.558,16.0,2023-06-30,10.38,¾»Åº(1),5.54
0.664,8.0,2023-06-30,10.38,¾»Åº(1),5.54
