ÏúÁ¿(Ç§¿Ë),ÏúÊÛµ¥¼Û(Ôª/Ç§¿Ë),ÈÕÆÚ,Åú·¢¼Û¸ñ(Ôª/Ç§¿Ë),µ¥Æ·Ãû³Æ,ËðºÄÂÊ(%)
0.252,3.6,2023-06-26,3.27,Ä¾¶ú²Ë,7.61
0.285,6.0,2023-06-26,3.27,Ä¾¶ú²Ë,7.61
0.302,6.0,2023-06-26,3.27,Ä¾¶ú²Ë,7.61
0.352,3.0,2023-06-26,3.27,Ä¾¶ú²Ë,7.61
0.369,3.0,2023-06-26,3.27,Ä¾¶ú²Ë,7.61
0.571,6.0,2023-06-27,3.28,Ä¾¶ú²Ë,7.61
0.218,6.0,2023-06-27,3.28,Ä¾¶ú²Ë,7.61
0.134,6.0,2023-06-27,3.28,Ä¾¶ú²Ë,7.61
0.772,6.0,2023-06-27,3.28,Ä¾¶ú²Ë,7.61
0.604,6.0,2023-06-27,3.28,Ä¾¶ú²Ë,7.61
0.52,6.0,2023-06-27,3.28,Ä¾¶ú²Ë,7.61
0.805,3.6,2023-06-27,3.28,Ä¾¶ú²Ë,7.61
0.302,3.6,2023-06-27,3.28,Ä¾¶ú²Ë,7.61
0.269,3.6,2023-06-27,3.28,Ä¾¶ú²Ë,7.61
0.252,3.6,2023-06-27,3.28,Ä¾¶ú²Ë,7.61
0.285,3.6,2023-06-27,3.28,Ä¾¶ú²Ë,7.61
0.302,3.6,2023-06-27,3.28,Ä¾¶ú²Ë,7.61
0.487,6.0,2023-06-28,3.24,Ä¾¶ú²Ë,7.61
0.47,6.0,2023-06-28,3.24,Ä¾¶ú²Ë,7.61
0.252,6.0,2023-06-28,3.24,Ä¾¶ú²Ë,7.61
0.621,6.0,2023-06-28,3.24,Ä¾¶ú²Ë,7.61
0.302,6.0,2023-06-28,3.24,Ä¾¶ú²Ë,7.61
0.42,6.0,2023-06-28,3.24,Ä¾¶ú²Ë,7.61
0.336,6.0,2023-06-28,3.24,Ä¾¶ú²Ë,7.61
0.487,6.0,2023-06-28,3.24,Ä¾¶ú²Ë,7.61
0.319,6.0,2023-06-28,3.24,Ä¾¶ú²Ë,7.61
0.487,6.0,2023-06-28,3.24,Ä¾¶ú²Ë,7.61
0.386,6.0,2023-06-28,3.24,Ä¾¶ú²Ë,7.61
0.352,6.0,2023-06-28,3.24,Ä¾¶ú²Ë,7.61
0.218,6.0,2023-06-28,3.24,Ä¾¶ú²Ë,7.61
0.403,6.0,2023-06-28,3.24,Ä¾¶ú²Ë,7.61
0.369,6.0,2023-06-28,3.24,Ä¾¶ú²Ë,7.61
0.403,3.6,2023-06-28,3.24,Ä¾¶ú²Ë,7.61
0.386,3.6,2023-06-28,3.24,Ä¾¶ú²Ë,7.61
0.352,3.6,2023-06-28,3.24,Ä¾¶ú²Ë,7.61
0.201,3.6,2023-06-28,3.24,Ä¾¶ú²Ë,7.61
0.369,3.6,2023-06-28,3.24,Ä¾¶ú²Ë,7.61
0.52,3.6,2023-06-28,3.24,Ä¾¶ú²Ë,7.61
0.336,3.6,2023-06-28,3.24,Ä¾¶ú²Ë,7.61
0.386,3.6,2023-06-28,3.24,Ä¾¶ú²Ë,7.61
0.369,6.0,2023-06-28,3.24,Ä¾¶ú²Ë,7.61
0.235,6.0,2023-06-28,3.24,Ä¾¶ú²Ë,7.61
0.487,6.0,2023-06-29,3.07,Ä¾¶ú²Ë,7.61
0.302,6.0,2023-06-29,3.07,Ä¾¶ú²Ë,7.61
0.369,6.0,2023-06-29,3.07,Ä¾¶ú²Ë,7.61
0.369,6.0,2023-06-29,3.07,Ä¾¶ú²Ë,7.61
0.671,6.0,2023-06-29,3.07,Ä¾¶ú²Ë,7.61
0.571,6.0,2023-06-29,3.07,Ä¾¶ú²Ë,7.61
0.319,6.0,2023-06-29,3.07,Ä¾¶ú²Ë,7.61
0.302,6.0,2023-06-29,3.07,Ä¾¶ú²Ë,7.61
0.352,6.0,2023-06-29,3.07,Ä¾¶ú²Ë,7.61
0.369,6.0,2023-06-29,3.07,Ä¾¶ú²Ë,7.61
0.369,6.0,2023-06-29,3.07,Ä¾¶ú²Ë,7.61
0.386,6.0,2023-06-30,3.12,Ä¾¶ú²Ë,7.61
0.587,6.0,2023-06-30,3.12,Ä¾¶ú²Ë,7.61
0.654,6.0,2023-06-30,3.12,Ä¾¶ú²Ë,7.61
0.604,6.0,2023-06-30,3.12,Ä¾¶ú²Ë,7.61
0.336,6.0,2023-06-30,3.12,Ä¾¶ú²Ë,7.61
0.285,6.0,2023-06-30,3.12,Ä¾¶ú²Ë,7.61
0.671,6.0,2023-06-30,3.12,Ä¾¶ú²Ë,7.61
0.302,6.0,2023-06-30,3.12,Ä¾¶ú²Ë,7.61
0.285,3.6,2023-06-30,3.12,Ä¾¶ú²Ë,7.61
0.42,6.0,2023-06-30,3.12,Ä¾¶ú²Ë,7.61
0.319,6.0,2023-06-30,3.12,Ä¾¶ú²Ë,7.61
0.336,3.6,2023-06-30,3.12,Ä¾¶ú²Ë,7.61
