оЗа©(г╖©к),оЗйш╣╔╪ш(т╙/г╖©к),хуфз,еЗ╥╒╪ш╦Я(т╙/г╖©к),╣╔ф╥цШЁф,кП╨дбй(%)
0.52,6.0,2023-06-26,3.8,вогявс(2),6.07
0.269,6.0,2023-06-26,3.8,вогявс(2),6.07
0.319,6.0,2023-06-27,3.8,вогявс(2),6.07
0.47,6.0,2023-06-27,3.8,вогявс(2),6.07
0.47,6.0,2023-06-27,3.8,вогявс(2),6.07
0.386,6.0,2023-06-27,3.8,вогявс(2),6.07
0.453,6.0,2023-06-27,3.8,вогявс(2),6.07
0.436,6.0,2023-06-27,3.8,вогявс(2),6.07
0.554,6.0,2023-06-27,3.8,вогявс(2),6.07
0.252,6.0,2023-06-27,3.8,вогявс(2),6.07
0.453,6.0,2023-06-27,3.8,вогявс(2),6.07
0.302,6.0,2023-06-27,3.8,вогявс(2),6.07
0.94,6.0,2023-06-28,3.8,вогявс(2),6.07
0.386,6.0,2023-06-28,3.8,вогявс(2),6.07
0.47,6.0,2023-06-28,3.8,вогявс(2),6.07
0.554,6.0,2023-06-28,3.8,вогявс(2),6.07
0.604,6.0,2023-06-28,3.8,вогявс(2),6.07
0.218,6.0,2023-06-28,3.8,вогявс(2),6.07
0.571,6.0,2023-06-28,3.8,вогявс(2),6.07
0.587,6.0,2023-06-28,3.8,вогявс(2),6.07
0.99,6.0,2023-06-28,3.8,вогявс(2),6.07
0.453,6.0,2023-06-28,3.8,вогявс(2),6.07
0.302,6.0,2023-06-28,3.8,вогявс(2),6.07
0.47,6.0,2023-06-29,3.8,вогявс(2),6.07
0.621,6.0,2023-06-29,3.8,вогявс(2),6.07
0.453,6.0,2023-06-29,3.8,вогявс(2),6.07
0.638,6.0,2023-06-29,3.8,вогявс(2),6.07
0.52,6.0,2023-06-29,3.8,вогявс(2),6.07
0.671,6.0,2023-06-29,3.8,вогявс(2),6.07
0.587,6.0,2023-06-29,3.8,вогявс(2),6.07
0.587,6.0,2023-06-29,3.8,вогявс(2),6.07
0.302,6.0,2023-06-29,3.8,вогявс(2),6.07
0.52,6.0,2023-06-29,3.8,вогявс(2),6.07
0.688,6.0,2023-06-30,3.43,вогявс(2),6.07
0.52,6.0,2023-06-30,3.43,вогявс(2),6.07
0.269,6.0,2023-06-30,3.43,вогявс(2),6.07
1.024,6.0,2023-06-30,3.43,вогявс(2),6.07
0.604,6.0,2023-06-30,3.43,вогявс(2),6.07
0.671,6.0,2023-06-30,3.43,вогявс(2),6.07
0.503,6.0,2023-06-30,3.43,вогявс(2),6.07
0.42,6.0,2023-06-30,3.43,вогявс(2),6.07
0.856,6.0,2023-06-30,3.43,вогявс(2),6.07
0.47,6.0,2023-06-30,3.43,вогявс(2),6.07
0.235,6.0,2023-06-30,3.43,вогявс(2),6.07
0.789,6.0,2023-06-30,3.43,вогявс(2),6.07
0.52,6.0,2023-06-30,3.43,вогявс(2),6.07
0.269,6.0,2023-06-30,3.43,вогявс(2),6.07
0.621,6.0,2023-06-30,3.43,вогявс(2),6.07
0.571,6.0,2023-06-30,3.43,вогявс(2),6.07
0.604,6.0,2023-06-30,3.43,вогявс(2),6.07
0.537,6.0,2023-06-30,3.43,вогявс(2),6.07
0.621,6.0,2023-06-30,3.43,вогявс(2),6.07
0.503,6.0,2023-06-30,3.43,вогявс(2),6.07
0.201,6.0,2023-06-30,3.43,вогявс(2),6.07
0.604,6.0,2023-06-30,3.43,вогявс(2),6.07
1.225,6.0,2023-06-30,3.43,вогявс(2),6.07
1.04,6.0,2023-06-30,3.43,вогявс(2),6.07
