œ˙¡ø(«ßøÀ),œ˙ €µ•º€(‘™/«ßøÀ),»’∆⁄,≈˙∑¢º€∏Ò(‘™/«ßøÀ),µ•∆∑√˚≥∆,À∫ƒ¬ (%)
0.218,6.0,2023-06-26,3.6,∫Ï Ìº‚,8.42
0.42,6.0,2023-06-26,3.6,∫Ï Ìº‚,8.42
0.436,6.0,2023-06-26,3.6,∫Ï Ìº‚,8.42
0.235,6.0,2023-06-26,3.6,∫Ï Ìº‚,8.42
0.523,5.2,2023-06-27,3.44,∫Ï Ìº‚,8.42
0.446,5.2,2023-06-27,3.44,∫Ï Ìº‚,8.42
0.407,5.2,2023-06-27,3.44,∫Ï Ìº‚,8.42
0.388,5.2,2023-06-27,3.44,∫Ï Ìº‚,8.42
0.698,5.2,2023-06-27,3.44,∫Ï Ìº‚,8.42
0.465,5.2,2023-06-27,3.44,∫Ï Ìº‚,8.42
0.233,5.2,2023-06-27,3.44,∫Ï Ìº‚,8.42
0.485,5.2,2023-06-27,3.44,∫Ï Ìº‚,8.42
0.736,5.2,2023-06-27,3.44,∫Ï Ìº‚,8.42
0.252,5.2,2023-06-27,3.44,∫Ï Ìº‚,8.42
0.31,5.2,2023-06-27,3.44,∫Ï Ìº‚,8.42
0.233,5.2,2023-06-27,3.44,∫Ï Ìº‚,8.42
0.233,5.2,2023-06-27,3.44,∫Ï Ìº‚,8.42
0.504,5.2,2023-06-27,3.44,∫Ï Ìº‚,8.42
0.426,5.2,2023-06-27,3.44,∫Ï Ìº‚,8.42
0.213,5.2,2023-06-27,3.44,∫Ï Ìº‚,8.42
0.233,5.2,2023-06-27,3.44,∫Ï Ìº‚,8.42
0.271,5.2,2023-06-27,3.44,∫Ï Ìº‚,8.42
0.231,4.8,2023-06-28,2.99,∫Ï Ìº‚,8.42
0.399,4.8,2023-06-28,2.99,∫Ï Ìº‚,8.42
0.231,4.8,2023-06-28,2.99,∫Ï Ìº‚,8.42
0.441,4.8,2023-06-28,2.99,∫Ï Ìº‚,8.42
0.462,4.8,2023-06-28,2.99,∫Ï Ìº‚,8.42
0.441,4.8,2023-06-28,2.99,∫Ï Ìº‚,8.42
0.231,4.8,2023-06-28,2.99,∫Ï Ìº‚,8.42
0.357,4.8,2023-06-29,2.6,∫Ï Ìº‚,8.42
0.63,4.8,2023-06-29,2.6,∫Ï Ìº‚,8.42
0.504,4.8,2023-06-29,2.6,∫Ï Ìº‚,8.42
0.861,4.8,2023-06-29,2.6,∫Ï Ìº‚,8.42
0.609,4.8,2023-06-29,2.6,∫Ï Ìº‚,8.42
0.294,4.8,2023-06-29,2.6,∫Ï Ìº‚,8.42
0.336,4.8,2023-06-29,2.6,∫Ï Ìº‚,8.42
0.273,4.8,2023-06-29,2.6,∫Ï Ìº‚,8.42
0.273,4.8,2023-06-29,2.6,∫Ï Ìº‚,8.42
0.273,4.8,2023-06-29,2.6,∫Ï Ìº‚,8.42
0.357,4.8,2023-06-29,2.6,∫Ï Ìº‚,8.42
0.567,4.8,2023-06-29,2.6,∫Ï Ìº‚,8.42
0.252,4.8,2023-06-29,2.6,∫Ï Ìº‚,8.42
0.357,4.8,2023-06-30,2.6,∫Ï Ìº‚,8.42
0.357,4.8,2023-06-30,2.6,∫Ï Ìº‚,8.42
0.672,4.8,2023-06-30,2.6,∫Ï Ìº‚,8.42
0.315,4.8,2023-06-30,2.6,∫Ï Ìº‚,8.42
0.336,4.8,2023-06-30,2.6,∫Ï Ìº‚,8.42
0.378,4.8,2023-06-30,2.6,∫Ï Ìº‚,8.42
0.651,4.8,2023-06-30,2.6,∫Ï Ìº‚,8.42
0.609,4.8,2023-06-30,2.6,∫Ï Ìº‚,8.42
0.651,4.8,2023-06-30,2.6,∫Ï Ìº‚,8.42
0.315,4.8,2023-06-30,2.6,∫Ï Ìº‚,8.42
0.315,4.8,2023-06-30,2.6,∫Ï Ìº‚,8.42
0.609,4.8,2023-06-30,2.6,∫Ï Ìº‚,8.42
0.315,4.8,2023-06-30,2.6,∫Ï Ìº‚,8.42
