œ˙¡ø(«ßøÀ),œ˙ €µ•º€(‘™/«ßøÀ),»’∆⁄,≈˙∑¢º€∏Ò(‘™/«ßøÀ),µ•∆∑√˚≥∆,À∫ƒ¬ (%)
0.354,4.0,2023-06-24,2.41,÷Ò“∂≤À,13.62
0.354,4.0,2023-06-24,2.41,÷Ò“∂≤À,13.62
0.328,4.0,2023-06-24,2.41,÷Ò“∂≤À,13.62
0.328,4.0,2023-06-24,2.41,÷Ò“∂≤À,13.62
0.328,4.0,2023-06-24,2.41,÷Ò“∂≤À,13.62
0.404,4.0,2023-06-24,2.41,÷Ò“∂≤À,13.62
0.152,4.0,2023-06-24,2.41,÷Ò“∂≤À,13.62
0.379,4.0,2023-06-24,2.41,÷Ò“∂≤À,13.62
0.682,4.0,2023-06-24,2.41,÷Ò“∂≤À,13.62
0.404,4.0,2023-06-24,2.41,÷Ò“∂≤À,13.62
0.354,4.0,2023-06-24,2.41,÷Ò“∂≤À,13.62
0.732,4.0,2023-06-24,2.41,÷Ò“∂≤À,13.62
0.152,4.0,2023-06-24,2.41,÷Ò“∂≤À,13.62
0.278,4.0,2023-06-24,2.41,÷Ò“∂≤À,13.62
0.278,4.0,2023-06-24,2.41,÷Ò“∂≤À,13.62
0.379,4.0,2023-06-25,2.37,÷Ò“∂≤À,13.62
0.404,4.0,2023-06-25,2.37,÷Ò“∂≤À,13.62
0.354,4.0,2023-06-25,2.37,÷Ò“∂≤À,13.62
0.429,4.0,2023-06-25,2.37,÷Ò“∂≤À,13.62
0.404,4.0,2023-06-25,2.37,÷Ò“∂≤À,13.62
0.429,4.0,2023-06-25,2.37,÷Ò“∂≤À,13.62
0.505,4.0,2023-06-25,2.37,÷Ò“∂≤À,13.62
0.53,4.0,2023-06-25,2.37,÷Ò“∂≤À,13.62
0.455,4.0,2023-06-25,2.37,÷Ò“∂≤À,13.62
0.429,4.0,2023-06-25,2.37,÷Ò“∂≤À,13.62
0.429,4.0,2023-06-25,2.37,÷Ò“∂≤À,13.62
0.354,4.0,2023-06-25,2.37,÷Ò“∂≤À,13.62
0.833,4.0,2023-06-25,2.37,÷Ò“∂≤À,13.62
0.328,4.0,2023-06-25,2.37,÷Ò“∂≤À,13.62
0.379,4.0,2023-06-25,2.37,÷Ò“∂≤À,13.62
0.379,4.0,2023-06-25,2.37,÷Ò“∂≤À,13.62
0.303,4.0,2023-06-25,2.37,÷Ò“∂≤À,13.62
0.328,4.0,2023-06-25,2.37,÷Ò“∂≤À,13.62
0.505,4.0,2023-06-25,2.37,÷Ò“∂≤À,13.62
0.379,4.0,2023-06-25,2.37,÷Ò“∂≤À,13.62
0.379,4.0,2023-06-25,2.37,÷Ò“∂≤À,13.62
0.354,4.0,2023-06-25,2.37,÷Ò“∂≤À,13.62
0.379,4.0,2023-06-25,2.37,÷Ò“∂≤À,13.62
0.404,4.0,2023-06-25,2.37,÷Ò“∂≤À,13.62
0.354,4.0,2023-06-25,2.37,÷Ò“∂≤À,13.62
0.48,4.0,2023-06-25,2.37,÷Ò“∂≤À,13.62
0.657,4.0,2023-06-25,2.37,÷Ò“∂≤À,13.62
0.429,4.0,2023-06-25,2.37,÷Ò“∂≤À,13.62
0.379,4.0,2023-06-25,2.37,÷Ò“∂≤À,13.62
0.328,4.0,2023-06-25,2.37,÷Ò“∂≤À,13.62
0.505,4.0,2023-06-25,2.37,÷Ò“∂≤À,13.62
0.758,4.0,2023-06-25,2.37,÷Ò“∂≤À,13.62
0.404,4.0,2023-06-26,2.42,÷Ò“∂≤À,13.62
0.404,4.0,2023-06-26,2.42,÷Ò“∂≤À,13.62
0.429,4.0,2023-06-26,2.42,÷Ò“∂≤À,13.62
0.833,4.0,2023-06-26,2.42,÷Ò“∂≤À,13.62
0.379,4.0,2023-06-26,2.42,÷Ò“∂≤À,13.62
0.328,4.0,2023-06-26,2.42,÷Ò“∂≤À,13.62
0.379,4.0,2023-06-26,2.42,÷Ò“∂≤À,13.62
0.354,4.0,2023-06-26,2.42,÷Ò“∂≤À,13.62
0.404,4.0,2023-06-26,2.42,÷Ò“∂≤À,13.62
0.455,4.0,2023-06-26,2.42,÷Ò“∂≤À,13.62
0.455,4.0,2023-06-26,2.42,÷Ò“∂≤À,13.62
0.455,4.0,2023-06-26,2.42,÷Ò“∂≤À,13.62
0.328,4.0,2023-06-26,2.42,÷Ò“∂≤À,13.62
0.429,4.0,2023-06-26,2.42,÷Ò“∂≤À,13.62
0.379,4.0,2023-06-26,2.42,÷Ò“∂≤À,13.62
0.404,4.0,2023-06-26,2.42,÷Ò“∂≤À,13.62
0.758,4.0,2023-06-26,2.42,÷Ò“∂≤À,13.62
0.429,4.0,2023-06-26,2.42,÷Ò“∂≤À,13.62
0.455,4.0,2023-06-26,2.42,÷Ò“∂≤À,13.62
0.429,4.0,2023-06-26,2.42,÷Ò“∂≤À,13.62
0.404,4.0,2023-06-26,2.42,÷Ò“∂≤À,13.62
0.379,4.0,2023-06-26,2.42,÷Ò“∂≤À,13.62
0.404,4.0,2023-06-26,2.42,÷Ò“∂≤À,13.62
0.354,4.0,2023-06-26,2.42,÷Ò“∂≤À,13.62
0.48,4.0,2023-06-26,2.42,÷Ò“∂≤À,13.62
0.303,4.0,2023-06-26,2.42,÷Ò“∂≤À,13.62
0.808,4.0,2023-06-26,2.42,÷Ò“∂≤À,13.62
0.328,4.0,2023-06-27,2.47,÷Ò“∂≤À,13.62
0.429,4.0,2023-06-27,2.47,÷Ò“∂≤À,13.62
0.404,4.0,2023-06-27,2.47,÷Ò“∂≤À,13.62
0.455,4.0,2023-06-27,2.47,÷Ò“∂≤À,13.62
0.404,4.0,2023-06-27,2.47,÷Ò“∂≤À,13.62
0.354,4.0,2023-06-27,2.47,÷Ò“∂≤À,13.62
0.379,4.0,2023-06-27,2.47,÷Ò“∂≤À,13.62
0.354,4.0,2023-06-27,2.47,÷Ò“∂≤À,13.62
0.379,4.0,2023-06-27,2.47,÷Ò“∂≤À,13.62
0.581,4.0,2023-06-27,2.47,÷Ò“∂≤À,13.62
0.354,4.0,2023-06-27,2.47,÷Ò“∂≤À,13.62
0.379,4.0,2023-06-27,2.47,÷Ò“∂≤À,13.62
0.328,4.0,2023-06-27,2.47,÷Ò“∂≤À,13.62
0.379,4.0,2023-06-27,2.47,÷Ò“∂≤À,13.62
0.354,4.0,2023-06-27,2.47,÷Ò“∂≤À,13.62
0.657,4.0,2023-06-27,2.47,÷Ò“∂≤À,13.62
0.379,4.0,2023-06-27,2.47,÷Ò“∂≤À,13.62
0.379,4.0,2023-06-27,2.47,÷Ò“∂≤À,13.62
0.404,4.0,2023-06-27,2.47,÷Ò“∂≤À,13.62
1.086,4.0,2023-06-27,2.47,÷Ò“∂≤À,13.62
0.429,4.0,2023-06-27,2.47,÷Ò“∂≤À,13.62
0.328,4.0,2023-06-27,2.47,÷Ò“∂≤À,13.62
0.48,4.0,2023-06-27,2.47,÷Ò“∂≤À,13.62
0.48,4.0,2023-06-27,2.47,÷Ò“∂≤À,13.62
0.606,4.0,2023-06-27,2.47,÷Ò“∂≤À,13.62
0.379,4.0,2023-06-27,2.47,÷Ò“∂≤À,13.62
0.379,4.0,2023-06-27,2.47,÷Ò“∂≤À,13.62
0.379,4.0,2023-06-27,2.47,÷Ò“∂≤À,13.62
0.328,4.0,2023-06-27,2.47,÷Ò“∂≤À,13.62
0.379,4.0,2023-06-27,2.47,÷Ò“∂≤À,13.62
0.404,4.0,2023-06-27,2.47,÷Ò“∂≤À,13.62
0.404,4.0,2023-06-27,2.47,÷Ò“∂≤À,13.62
0.354,4.0,2023-06-27,2.47,÷Ò“∂≤À,13.62
0.833,3.4,2023-06-28,2.25,÷Ò“∂≤À,13.62
0.774,3.4,2023-06-28,2.25,÷Ò“∂≤À,13.62
0.446,3.4,2023-06-28,2.25,÷Ò“∂≤À,13.62
0.387,3.4,2023-06-28,2.25,÷Ò“∂≤À,13.62
0.446,3.4,2023-06-28,2.25,÷Ò“∂≤À,13.62
0.357,3.4,2023-06-28,2.25,÷Ò“∂≤À,13.62
0.476,3.4,2023-06-28,2.25,÷Ò“∂≤À,13.62
0.893,3.4,2023-06-28,2.25,÷Ò“∂≤À,13.62
0.476,3.4,2023-06-28,2.25,÷Ò“∂≤À,13.62
0.387,3.4,2023-06-28,2.25,÷Ò“∂≤À,13.62
0.298,3.4,2023-06-28,2.25,÷Ò“∂≤À,13.62
0.387,3.4,2023-06-28,2.25,÷Ò“∂≤À,13.62
0.446,3.4,2023-06-28,2.25,÷Ò“∂≤À,13.62
0.357,3.4,2023-06-28,2.25,÷Ò“∂≤À,13.62
0.446,3.4,2023-06-28,2.25,÷Ò“∂≤À,13.62
0.476,3.4,2023-06-28,2.25,÷Ò“∂≤À,13.62
0.476,3.4,2023-06-28,2.25,÷Ò“∂≤À,13.62
0.833,3.4,2023-06-28,2.25,÷Ò“∂≤À,13.62
0.357,3.4,2023-06-28,2.25,÷Ò“∂≤À,13.62
0.357,3.4,2023-06-28,2.25,÷Ò“∂≤À,13.62
0.446,3.4,2023-06-28,2.25,÷Ò“∂≤À,13.62
0.357,3.4,2023-06-28,2.25,÷Ò“∂≤À,13.62
0.446,3.4,2023-06-28,2.25,÷Ò“∂≤À,13.62
0.774,3.4,2023-06-28,2.25,÷Ò“∂≤À,13.62
0.476,3.4,2023-06-28,2.25,÷Ò“∂≤À,13.62
0.327,3.4,2023-06-28,2.25,÷Ò“∂≤À,13.62
0.417,3.4,2023-06-28,2.25,÷Ò“∂≤À,13.62
0.327,3.4,2023-06-29,2.16,÷Ò“∂≤À,13.62
0.357,3.4,2023-06-29,2.16,÷Ò“∂≤À,13.62
0.357,3.4,2023-06-29,2.16,÷Ò“∂≤À,13.62
0.327,3.4,2023-06-29,2.16,÷Ò“∂≤À,13.62
0.357,3.4,2023-06-29,2.16,÷Ò“∂≤À,13.62
0.327,3.4,2023-06-29,2.16,÷Ò“∂≤À,13.62
0.744,3.4,2023-06-29,2.16,÷Ò“∂≤À,13.62
0.357,3.4,2023-06-29,2.16,÷Ò“∂≤À,13.62
0.417,3.4,2023-06-29,2.16,÷Ò“∂≤À,13.62
0.982,3.4,2023-06-29,2.16,÷Ò“∂≤À,13.62
0.655,3.4,2023-06-29,2.16,÷Ò“∂≤À,13.62
0.625,3.4,2023-06-29,2.16,÷Ò“∂≤À,13.62
0.714,3.4,2023-06-29,2.16,÷Ò“∂≤À,13.62
0.476,3.4,2023-06-29,2.16,÷Ò“∂≤À,13.62
0.566,3.4,2023-06-29,2.16,÷Ò“∂≤À,13.62
0.357,3.4,2023-06-29,2.16,÷Ò“∂≤À,13.62
0.506,3.4,2023-06-29,2.16,÷Ò“∂≤À,13.62
0.327,3.4,2023-06-29,2.16,÷Ò“∂≤À,13.62
0.327,3.4,2023-06-29,2.16,÷Ò“∂≤À,13.62
0.357,3.4,2023-06-29,2.16,÷Ò“∂≤À,13.62
0.298,3.4,2023-06-29,2.16,÷Ò“∂≤À,13.62
0.655,3.4,2023-06-29,2.16,÷Ò“∂≤À,13.62
0.298,3.4,2023-06-30,2.15,÷Ò“∂≤À,13.62
0.327,3.4,2023-06-30,2.15,÷Ò“∂≤À,13.62
0.357,3.4,2023-06-30,2.15,÷Ò“∂≤À,13.62
0.446,3.4,2023-06-30,2.15,÷Ò“∂≤À,13.62
0.387,3.4,2023-06-30,2.15,÷Ò“∂≤À,13.62
0.446,3.4,2023-06-30,2.15,÷Ò“∂≤À,13.62
0.357,3.4,2023-06-30,2.15,÷Ò“∂≤À,13.62
0.357,3.4,2023-06-30,2.15,÷Ò“∂≤À,13.62
0.387,3.4,2023-06-30,2.15,÷Ò“∂≤À,13.62
0.298,3.4,2023-06-30,2.15,÷Ò“∂≤À,13.62
0.714,3.4,2023-06-30,2.15,÷Ò“∂≤À,13.62
0.446,3.4,2023-06-30,2.15,÷Ò“∂≤À,13.62
0.387,3.4,2023-06-30,2.15,÷Ò“∂≤À,13.62
0.536,3.4,2023-06-30,2.15,÷Ò“∂≤À,13.62
0.506,3.4,2023-06-30,2.15,÷Ò“∂≤À,13.62
0.327,3.4,2023-06-30,2.15,÷Ò“∂≤À,13.62
0.357,3.4,2023-06-30,2.15,÷Ò“∂≤À,13.62
0.327,3.4,2023-06-30,2.15,÷Ò“∂≤À,13.62
0.357,3.4,2023-06-30,2.15,÷Ò“∂≤À,13.62
0.387,3.4,2023-06-30,2.15,÷Ò“∂≤À,13.62
0.357,3.4,2023-06-30,2.15,÷Ò“∂≤À,13.62
0.744,3.4,2023-06-30,2.15,÷Ò“∂≤À,13.62
0.327,3.4,2023-06-30,2.15,÷Ò“∂≤À,13.62
0.387,3.4,2023-06-30,2.15,÷Ò“∂≤À,13.62
0.446,3.4,2023-06-30,2.15,÷Ò“∂≤À,13.62
0.595,3.4,2023-06-30,2.15,÷Ò“∂≤À,13.62
0.327,3.4,2023-06-30,2.15,÷Ò“∂≤À,13.62
0.357,3.4,2023-06-30,2.15,÷Ò“∂≤À,13.62
0.268,3.4,2023-06-30,2.15,÷Ò“∂≤À,13.62
0.387,3.4,2023-06-30,2.15,÷Ò“∂≤À,13.62
0.387,3.4,2023-06-30,2.15,÷Ò“∂≤À,13.62
0.298,3.4,2023-06-30,2.15,÷Ò“∂≤À,13.62
